City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,west island,-12.1568,96.8225,27.99,83,75,3.09,CC,1709414023
144,enewetak,11.3474,162.3373,26.71,78,100,8.07,MH,1709413814
145,ballina,-28.8667,153.5667,23.21,92,95,2.99,AU,1709413815
146,polyarnyy,69.1989,33.4478,-0.15,91,99,5.72,RU,1709413768
147,berdigestyakh,62.0989,126.6992,-23.96,98,100,2.98,RU,1709414024
148,adrar,20.5022,-10.0711,22.64,11,0,3.82,MR,1709414024
149,rundu,-17.9333,19.7667,22.69,30,10,2.8,NA,1709414024
150,soligalich,59.0778,42.2864,-1.84,93,99,1.9,RU,1709414024
151,klaksvik,62.2266,-6.589,4.51,97,100,16.5,FO,1709414024
152,saint-louis,16.3333,-15.0,27.88,10,0,6.46,SN,1709414025
153,luorong,24.4058,109.6086,10.89,77,100,0.84,CN,1709414025
154,yaren,-0.5472,166.916,28.37,79,86,6.05,NR,1709414025
155,mitsamiouli,-11.3847,43.2844,28.49,78,100,2.91,KM,1709414025
156,san antonio de pale,-1.4014,5.6325,28.35,73,92,1.53,GQ,1709414025
157,awjilah,29.1081,21.2869,16.67,32,47,3.98,LY,1709414025
158,cabedelo,-6.9811,-34.8339,29.37,76,64,4.83,BR,1709413915
159,bourg-saint-maurice,45.6172,6.769,6.89,96,100,4.43,FR,1709414026
160,port elizabeth,-33.918,25.5701,20.61,91,100,0.89,ZA,1709414026
161,tyazhinskiy,56.116,88.524,-20.65,100,100,0.76,RU,1709414026
162,roma,43.2128,-75.4557,6.43,94,100,3.09,US,1709414026
163,punta arenas,-53.15,-70.9167,8.06,53,75,12.35,CL,1709414026
164,tommot,58.9564,126.2925,-18.41,96,100,3.03,RU,1709414026
165,ilulissat,69.2167,-51.1,-1.99,93,75,3.6,GL,1709414026
166,sarykemer,43.0,71.5,-1.29,81,100,1.71,KZ,1709414027
167,riversdale,18.1659,-76.9642,28.36,66,91,1.75,JM,1709414027
168,belyy yar,53.6039,91.3903,-18.06,92,74,1.0,RU,1709414027
169,geraldton,-28.7667,114.6,23.23,88,1,3.6,AU,1709413777
170,sinabang,2.4803,96.3801,26.26,83,100,0.84,ID,1709414027
171,hurricane,37.1753,-113.2899,16.26,71,100,12.2,US,1709414027
172,altai,46.3722,96.2583,-16.03,41,18,1.23,MN,1709414027
173,christchurch,-43.5333,172.6333,16.06,64,100,4.63,NZ,1709413923
174,el nido,11.1858,119.3956,25.11,82,39,3.4,PH,1709414028
175,san marcos de colon,13.4333,-86.8,31.64,23,6,3.08,HN,1709414028
176,beloyarskiy,63.7119,66.6722,-4.44,96,98,2.68,RU,1709414028
177,caribou,46.8606,-68.012,8.35,46,40,4.63,US,1709414028
178,vernon,50.2581,-119.2691,4.4,68,100,0.89,CA,1709414028
179,isangel,-19.55,169.2667,27.98,85,100,2.85,VU,1709414028
180,misratah,32.3754,15.0925,16.11,68,100,3.41,LY,1709414028
181,kavieng,-2.5744,150.7967,27.22,80,100,2.32,PG,1709414029
182,hirara,24.8,125.2833,18.2,80,100,9.36,JP,1709414029
183,hasaki,35.7333,140.8333,1.22,44,100,3.0,JP,1709414029
184,padangsidempuan,1.3667,99.2667,22.35,98,99,1.03,ID,1709414029
185,olingan,8.5314,123.3194,24.34,90,100,3.87,PH,1709414029
186,bikin,46.8161,134.26,-21.48,100,59,1.59,RU,1709414029
187,carnarvon,-24.8667,113.6333,24.3,81,39,4.97,AU,1709413875
188,antsiranana,-12.2787,49.2917,25.86,81,100,3.99,MG,1709414030
189,kapuskasing,49.4169,-82.4331,1.49,100,100,1.89,CA,1709413823
190,le port,-20.9373,55.2919,26.98,72,97,2.66,RE,1709414030
191,mariental,-24.6333,17.9667,27.32,32,38,2.67,NA,1709414030
192,abong mbang,3.9833,13.1833,22.37,90,100,2.22,CM,1709414030
193,nyurba,63.2842,118.3319,-27.77,100,100,1.34,RU,1709414030
194,berezovyy,51.6667,135.7,-17.43,99,100,0.85,RU,1709414031
195,bodo,67.28,14.405,5.02,60,0,7.72,NO,1709414031
196,luwuk,-0.9516,122.7875,25.91,88,100,0.68,ID,1709414031
197,nuku'alofa,-21.1333,-175.2,30.19,79,40,4.12,TO,1709414031
198,port alfred,-33.5906,26.891,19.54,90,78,0.89,ZA,1709414031
199,jamestown,42.097,-79.2353,7.77,97,100,1.97,US,1709413888
200,granville,-33.8333,151.0167,20.8,88,75,3.09,AU,1709414031
201,arkadelphia,34.1209,-93.0538,22.87,53,0,4.12,US,1709414023
